Sentence,Sentiment,cleaned_Sentence,Encoded_Sentiment,Sentiment_Polarity_Cleaned,Sentiment_Label_Cleaned,Sentiment_Label_Encoded
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,negative,earnings per share eps decreased eur eur,0,-0.4,negative,0
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",neutral,july market cap segments updated according average price may,1,-0.15,negative,0
@REC_Zakaria Monday Bulls Are Out! Stock Ticker  Michael James Ent. Other picks $SBUX $GVP $NKE,positive,reczakaria monday bulls stock ticker michael james ent picks sbux gvp nke,2,0.0,neutral,1
The Group aims to increase its net sales and comparable operating profit in 2006 .,positive,group aims increase net sales comparable operating profit,2,0.0,neutral,1
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9 1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,cencorp net sales first quarter estimated eur compared eur first quarter,0,0.16666666666666666,positive,2
A paper mill in the central Maine town of Madison soon will have a new owner .,neutral,paper mill central maine town madison soon new owner,1,0.06818181818181818,positive,2
"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral,offer million shares aimed raise xac million us million expected completed oct outokumpu said,1,-0.1,negative,0
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive,efore results last quarter showed even faster improvement company managed better source components,2,0.25,positive,2
"The company designs , manufactures and markets high quality clothing , interior decoration textiles , bags and other accessories .",neutral,company designs manufactures markets high quality clothing interior decoration textiles bags accessories,1,0.16,positive,2
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral,cdp established initiative institutional investors however annually published results also interest increasing number customers interest groups reporting companies,1,0.0,neutral,1
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",positive,accordance strategy strengthened local presence establishing representative office south africa october,2,0.0,neutral,1
"Casinos red before the bell: $LVS  0.75%, $WYNN  0.47%, $WYNN  0.47% > unusual comibinations of what's running, what's red before the bell",negative,casinos red bell lvs wynn wynn unusual comibinations whats running whats red bell,0,0.06666666666666667,positive,2
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .",positive,eps quarter came eur eur year ago ahead forecast eur,2,0.0,neutral,1
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",neutral,accordance terms conditions alma media option program share subscription price option rights eur per share book countervalue eur per share,1,0.0,neutral,1
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive,company make marketing sales investments initiated even efficient,2,0.0,neutral,1
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",positive,ebit totalled eur mn compared loss eur mn corresponding period,2,0.0,neutral,1
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,orion net profit third quarter decreased mln euro mln mln euro mln year earlier,0,-0.1,negative,0
"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",neutral,omx helsinki ended pct lower omx helsinki pct bln eur turnover,1,0.0,neutral,1
"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",positive,basware connectivity services allow companies handle purchase pay processes online make internal processes efficient said ceo ilkka sihvo basware corporation,2,0.0,neutral,1
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive,time profit company increased h reached ls,2,0.0,neutral,1
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,mill capacity produce tonnes pulp per year,1,0.0,neutral,1
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive,operating profit totalled eur mn loss eur mn second quarter,2,0.0,neutral,1
"@Stockoptionexpert: $MAT   6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",negative,stockoptionexpert mat big trader added april put contracts days ago,0,0.0,neutral,1
"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",positive,sysopen digia plc press release february ibm finland rewarded distinguished partner companies,2,0.0,neutral,1
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive,diluted earnings per share eps rose eur eur,2,0.6,positive,2
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative,gakrum nice chart shows distinctive channel dip see bottom spy,0,0.6,positive,2
The share subscription period will expire on 30 September 2007 .,neutral,share subscription period expire september,1,0.0,neutral,1
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive,enbca headshoulders bullish reversal setup breakout oil gas pipleline stock uso,2,0.0,neutral,1
Severn Trent share price rises as first half profit inches up as customer ...,positive,severn trent share price rises first half profit inches customer,2,0.04166666666666667,positive,2
Name of Company in which holdings have been acquired : Citycon Oyj 2 .,neutral,name company holdings acquired citycon oyj,1,0.0,neutral,1
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral,aldata solution oyj thomas hoyer cfo information aldata solution oyj thomas hoyer cfo tel aldata brief aldata solution one global leaders supply chain software retail wholesale logistics companies,1,0.0,neutral,1
easyJet leads Britain's FTSE lower as global bond rout resumes,negative,easyjet leads britains ftse lower global bond rout resumes,0,0.0,neutral,1
Production is scheduled to start by the end of April 2007 .,neutral,production scheduled start end april,1,0.0,neutral,1
"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",neutral,asia earlier japan nikkei index fell percent hong kong hang seng index rose percent,1,0.3,positive,2
"Fiskars , a 360 year old global business best known for its orange handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive,fiskars year old global business best known orange handled scissors expects derive synergies eur million year consolidating certain parts housewares division two compete,2,0.32857142857142857,positive,2
"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",neutral,every partner allowed buy quantity electricity corresponding share consortium production cost letter intent said,1,0.0,neutral,1
"The Board established a Remuneration Committee with following members :   Sari Baldauf Chairman   Tapio Hintikka   Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral,board established remuneration committee following members sari baldauf chairman tapio hintikka heikki westerlund addition board decided appoint nomination committee later stage,1,0.0,neutral,1
"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer .",neutral,method utilises waterborne ultra products giving protection wooden surfaces industrial painting process whereby two layers top coat applied exterior wooden panels boards without separate primer,1,0.16666666666666666,positive,2
Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive,berkshire seeks boost wells fargo stake percent,2,0.0,neutral,1
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,agreement provide switch double converter capacity whilst opening manufacturing locations china,2,0.0,neutral,1
"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7 day , 24 hour work shifts .",neutral,due pirkka beer olvi brewery iisalmi moving day hour work shifts,1,-0.125,negative,0
"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",neutral,metsaliitto sell million b shares neomarkka accounting pct neomarkka equity pct voting rights,1,0.0,neutral,1
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,huge bridge girders delivered site plant ylivieska finland,1,0.4000000000000001,positive,2
"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .",neutral,von koskull oversee new unit nordea brings together corporate merchant banking financial institutions capital markets products divisions,1,0.04545454545454545,positive,2
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,thanks multiplying effect wagon performance transport much efficient says development manager juha malkia vr cargo,2,0.2,positive,2
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma media shares ilkka yhtyma oyj kaleva kustannus oy conditions agreement made companies july fulfilled,1,0.0,neutral,1
The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral,line run fully underground comprise stations executed two implementation stages,1,0.0,neutral,1
"The Finnish supplier of BSS OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive,finnish supplier bss oss vas telecom operators tecnotree received expansion orders worth total us mn convergent charging next generation messaging solutions latin america company announced without specifying operators placed orders,2,0.09999999999999999,positive,2
in Q1 2010 18 May 2010   Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive,q may finnish electrical components maker salcomp oy hel salv said today turned net profit eur first quarter versus loss eurm corresponding period last year,2,0.08333333333333333,positive,2
"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .",neutral,second variant offers complete final finishing selected apartment foreign high quality materials finland denmark germany france,1,0.03916666666666667,positive,2
Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral,net profit period xac million,1,0.0,neutral,1
Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,positive,breaking week highs timing looks great ahs baby post ige irdm ewbc phys ulta vnet biv,2,0.8,positive,2
The repurchases shall decrease the distributable capital and reserves .,neutral,repurchases shall decrease distributable capital reserves,1,0.0,neutral,1
$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative,stx move bottom still bear market datasecurity emc sndk wdc,0,0.0,neutral,1
The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,neutral,organization member russian auto sector union mpra become active since tikkurila acquired russian paint company kraski teks,1,-0.044444444444444446,negative,0
The new shares entitle their holders to dividends for fiscal 2006 .,neutral,new shares entitle holders dividends fiscal,1,0.13636363636363635,positive,2
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive,ebitda year improved eurm compared eurm,2,0.0,neutral,1
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,finnish talentum reports operating profit increased eur mn eur mn net sales totaled eur mn eur mn,2,0.0,neutral,1
"Both operating profit and turnover for the three month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,operating profit turnover three month period increased respectively eur eur compared corresponding period,2,0.0,neutral,1
The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,neutral,bridge km long located anasmotet road e new traffic junction marieholm road e,1,0.043181818181818175,positive,2
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,positive,finnish electronics manufacturer pkc group oyj omx helsinki pkcv said wednesday december completed acquisition man nutzfahrzeuge ag cable harness business man star trucks buses spolka zoo poland,2,0.0,neutral,1
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",neutral,veidekke headquartered oslo norway scandinavian construction property development group employees norway sweden denmark annual turnover nok bn,1,0.0,neutral,1
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive,members partners use mostly apparent increased efficiency results service observes perttu puro tradeka,2,0.05,positive,2
Protalix is developing genetically engineered proteins from plant cells .,neutral,protalix developing genetically engineered proteins plant cells,1,0.0,neutral,1
Decisions are to be made as quickly as possible .,neutral,decisions made quickly possible,1,0.0,neutral,1
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap back on the VIX),negative,cat hangin thread click away cliff drop needs follow snap back vix,0,0.0,neutral,1
The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .,neutral,incident happened pm avenue road,1,0.0,neutral,1
Verizon and AT&T accused of hurting rivals,negative,verizon att accused hurting rivals,0,0.0,neutral,1
`` The CHF is a great product .,positive,chf great product,2,0.8,positive,2
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue chip fallers .",neutral,cet arcelormittal lost eur euronext paris coming lead blue chip fallers,1,0.0,neutral,1
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral,cooperation airbaltic expected lead transfer finncomm ownership airbaltic time,1,-0.1,negative,0
"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",positive,loaded bsx yesterdaylooking good still think way upside downside,2,0.7,positive,2
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,lemminkainen group headquartered helsinki finland operates sectors construction industry civil engineering building contracting technical building services building materials industry,1,0.0,neutral,1
"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .",neutral,power supplies dc power systems inverters designed manufactured efore systems incorporating used many different applications,1,0.25,positive,2
Pertti Ervi is independent from the Company and its major shareholders .,neutral,pertti ervi independent company major shareholders,1,0.03125,positive,2
"In parallel , TeliaSonera has decided to conduct a compulsory acquisition .",neutral,parallel teliasonera decided conduct compulsory acquisition,1,0.0,neutral,1
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",neutral,cut frequency new york last year explains fall said,1,0.06818181818181818,positive,2
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,mr ashley deputy executive chairman sports direct sold pc stake company pounds time float,1,0.1,positive,2
"Exel Composites ' long term growth prospects remain favourable , however .",positive,exel composites long term growth prospects remain favourable however,2,-0.05,negative,0
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",positive,combining existing solutions single platform comptel said reduced cost deployment,2,-0.07142857142857142,negative,0
Shell share price: Standard Life announce position against BG acquisition,negative,shell share price standard life announce position bg acquisition,0,0.0,neutral,1
SAB's Chairman Digs In With Board Divided on InBev Offer,neutral,sabs chairman digs board divided inbev offer,1,0.0,neutral,1
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,negative,company said sales three months end march slid eur us eur last year,0,0.0,neutral,1
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,positive,trow ascending triangle gives bullish bias chart breakout positive,2,0.22727272727272727,positive,2
"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",neutral,total scope project square metres valued total around eurm,1,0.0,neutral,1
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,net interest income increased eur mn eur mn,2,0.0,neutral,1
"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",neutral,addition existing service counter area reception hall rebuilt access provided local rail connections,1,0.0,neutral,1
"HELSINKI AFX   KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive,helsinki afx kci konecranes said raised stake mmh holdings inc owner us based morris materials handling pct pct,2,0.0,neutral,1
A CUT ABOVE Bring the outdoors in with these birch branch coasters .,neutral,cut bring outdoors birch branch coasters,1,0.0,neutral,1
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,neutral,consolidated operating profit continuing operations decreased eur mn eur mn,1,-0.4,negative,0
The contract value amounts to EUR 2.4 million .,neutral,contract value amounts eur million,1,0.0,neutral,1
Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,positive,net sales finnish food industry company lnnen tehtaat continuing operations increased eur mn eur mn,2,0.0,neutral,1
The acquisition of Kaupthing Sverige will bring a significant positive non recurring addition to the group 's performance .,positive,acquisition kaupthing sverige bring significant positive non recurring addition group performance,2,0.30113636363636365,positive,2
"( ADP News )   Nov 5 , 2008   Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive,adp news nov finnish electronic measurement products solutions maker vaisala oyj omx vaias said today net profit rose eur million usd first nine months eur,2,0.2833333333333333,positive,2
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral,renesas mobile europe ltd approximately employees oulu,1,-0.4,negative,0
Self service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,positive,self service automation bigger role fujitsu global resources exploited effectively,2,0.19999999999999998,positive,2
"  The Group  ¦ s profit before taxes was EUR 0,2 7,8 million .",neutral,group profit taxes eur million,1,0.0,neutral,1
"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",neutral,permanent magnet generators power converters today preferred solution new wind turbine designs company said,1,0.13636363636363635,positive,2
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,positive,finnish rautaruukki awarded contract supply install steel superstructures partihallsfrbindelsen bridge gothenburg sweden,2,0.0,neutral,1
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,neutral,fair value capman plc investments september amounted meur,1,0.7,positive,2
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive,update barclays expects gain settling lehman bros trustee,2,0.0,neutral,1
"ST. PETERSBURG , Oct 14 ( PRIME TASS )    Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",positive,st petersburg oct prime tass finnish tire producer nokian tyres plans invest million euros expansion tire plant city vsevolozhsk russia leningrad region company president kim gran told reporters thursday,2,0.0,neutral,1
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year ago quarter .",positive,nokia also noted average selling price handsets declined period though mobile phone profit margin rose percent percent year ago quarter,2,0.22499999999999998,positive,2
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive,wpp worlds largest ad agency reports strong growth,2,0.4333333333333333,positive,2
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",neutral,q company operating loss totalled eur mn compared profit eur mn q,1,0.0,neutral,1
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive,finnish lifting equipment maker konecranes hel kcrv said july raised stake austrian manipulator maker acs konecranes bought german sector player knight europe,2,0.0,neutral,1
"Cash flow after investments amounted to EUR45m , down from EUR46m .",neutral,cash flow investments amounted eurm eurm,1,0.0,neutral,1
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative,baltimore police fire pension billion lost million madoff ponzi scheme,0,0.0,neutral,1
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral,scanfil plc global contract manufacturer systems supplier communication industrial electronics,1,0.0,neutral,1
"It 's `` finger friendly '' , and to my opinion , really fast .",neutral,finger friendly opinion really fast,1,0.2875,positive,2
The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,neutral,board directors proposed extraordinary general meeting authorise board decide issuance maximum mn new shares one share issues,1,0.1732323232323232,positive,2
down to EUR5 .9 m H1 '09 3 August 2009   Finnish media group Ilkka Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative,eur h august finnish media group ilkka yhtyma oyj hel ilks said today net profit fell year eur first half,0,0.02777777777777778,positive,2
"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",neutral,according sweden minister local government financial markets mats odell decision sell state shares telecom group teliasonera carried cooperation state finland,1,0.0,neutral,1
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",positive,mobile phone shipments jumped percent almost million units finnish company global market share rose percent percent,2,0.3,positive,2
"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser .",neutral,according mark white locatrix communications ceo company web services interface allows device owners friends family track locate twig users via web browser,1,0.0,neutral,1
$SPY Could the pride of social media be gettin ready to fall?  $FB   chart rolling over?,negative,spy could pride social media gettin ready fall fb chart rolling,0,0.11666666666666667,positive,2
"According to Viking Line 's Managing Director , Nils Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",positive,according viking line managing director nils erik eklund company board directors satisfied viking line performance,2,0.5,positive,2
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",positive,megafon subscriber base increased million users december market share number customers amounted late late according teliasonera estimates,2,-0.46666666666666673,negative,0
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re routing .,negative,finnair believes strike cause daily net losses excess eur mn due canceled reservations passenger routing,0,-0.041666666666666664,negative,0
"( ADP News )   Feb 11 , 2009   Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",negative,adp news feb finnish wood products technology supplier raute oyj hel rutav said today net profit decreased eur million usd eur million,0,-0.2,negative,0
"The contract covers turnkey deliveries to all five airports operated by the authority    John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",neutral,contract covers turnkey deliveries five airports operated authority john f kennedy laguardia newark teterboro stewart international,1,0.0,neutral,1
A total of 140 jobs will be reduced at the Raahe Steel Works .,neutral,total jobs reduced raahe steel works,1,0.0,neutral,1
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",neutral,release oct peab said two businesses continue conducted brands cliffton stockholm entreprenad part peab group,1,0.0,neutral,1
23 April 2010   Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,neutral,april finnish construction engineering company outotec oyj hel otev said today slipped net loss eur first quarter net profit eur corresponding period last year,1,0.0625,positive,2
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive,repair maintenance business accounted net sales eur mn eur mn,2,0.0,neutral,1
"STORA ENSO , NORSKE SKOG , M REAL , UPM KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,stora enso norske skog real upm kymmene credit suisse first boston cfsb raised fair value shares four largest nordic forestry groups,2,0.3833333333333333,positive,2
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral,valmet automotive reports net sales eur mn operating profit eur mn,1,0.0,neutral,1
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",positive,profit period eur mn eur mn,2,0.0,neutral,1
"In Sweden , there is an oversupply of pharmacies .",negative,sweden oversupply pharmacies,0,0.0,neutral,1
The firm builds components for mobile phones and other communications products .,neutral,firm builds components mobile phones communications products,1,-0.2,negative,0
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid May , it said .",negative,capacity ease seikku sawmill pori alholma sawmill pietarsaari result people laid around six weeks starting mid may said,0,0.0,neutral,1
"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",neutral,exel board directors propose dividend euro per share annual general meeting april,1,0.05000000000000002,positive,2
"He announced a `` solutions unit '' to speed co operation in August , and shifted Simonson from finance chief to low end phones in October .",neutral,announced solutions unit speed co operation august shifted simonson finance chief low end phones october,1,0.0,neutral,1
The authorization is in force for a period of 18 months from the resolution by the General Meeting .,neutral,authorization force period months resolution general meeting,1,0.05000000000000002,positive,2
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",neutral,revenue quarter totaled billion percent billion fourth quarter,1,0.0,neutral,1
"In Sweden , there is an oversupply of pharmacies .",neutral,sweden oversupply pharmacies,1,0.0,neutral,1
Rolls Royce to Ensure Compliance After Petrobras Bribery Report,neutral,rolls royce ensure compliance petrobras bribery report,1,0.0,neutral,1
Japan's Nikkei lands Financial Times in $1.3 billion deal,positive,japans nikkei lands financial times billion deal,2,0.0,neutral,1
"The manager is critical of politicians ' failure to differentiate between beleaguered European financial institutions and Skandinavian banks , `` which sailed through the crisis without issues '' .",neutral,manager critical politicians failure differentiate beleaguered european financial institutions skandinavian banks sailed crisis without issues,1,-0.07916666666666668,negative,0
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,plant would use palm oil certified roundtable sustainable palm oil rspo,1,0.0,neutral,1
All depends on financing .,neutral,depends financing,1,0.0,neutral,1
Finnish publishing and printing group Ilkka Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,neutral,finnish publishing printing group ilkka yhtym introduced staff smoking ban beginning company three newspapers,1,0.0,neutral,1
These savings will have full impact as of the beginning of 2007 .,neutral,savings full impact beginning,1,0.35,positive,2
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,ship unloader totally enclosed along entire conveying line storage facilities,1,0.0,neutral,1
"Entire paper mills may be set up , especially in the new EU member states .",neutral,entire paper mills may set especially new eu member states,1,0.13636363636363635,positive,2
Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,positive,rapala estimates net sales increase pct pct assuming exchange rates,2,0.0,neutral,1
"Both operating profit and net sales for the six month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",positive,operating profit net sales six month period increased respectively eur eur compared corresponding period,2,0.0,neutral,1
"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",neutral,jukka hienonen current finnair ceo step end january,1,0.0,neutral,1
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral,price talk euribor plus bps area sole lead citigroup,1,0.0,neutral,1
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,neutral,properties purchased swedish private equity real estate firm niam goldman sachs whitehall street real estate funds,1,0.05,positive,2
Sunrise Resources operates in Russian near shore development markets through its wholly owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral,sunrise resources operates russian near shore development markets wholly owned russian subsidiary personnel russia,1,0.03333333333333333,positive,2
